Image ID;color;color group;shape;length;nail art ;nail art level;nail art style;topic effect ;mood;season
1;emerald green, silver;dark;square;short;yes;simple;line art, full covered ;shine, chrome;calm, energetic, adventurous, vigorous, faithful;winter
2;emerald green;dark;square;short;yes;simple;small art, hearts, full covered ;shine;calm, energetic, adventurous, vigorous, faithful;winter
3;emerald green, gold;dark;square;short;yes;simple;line art, full covered ;shine, glitter;calm, energetic, adventurous, vigorous, faithful;winter
4;emerald  green;dark;square;short;yes;simple;line art, full covered ;shine;calm, energetic, adventurous, vigorous, faithful;winter
5;green;normal;square;short;yes;simple;french tips;glitter;calm, energetic, adventurous, vigorous, faithful;summer
6;green;normal;square;short;yes;simple;french tips;shine;calm, energetic, adventurous, vigorous, faithful;summer
7;green;normal;square;short;yes;simple;french tips;shine;calm, energetic, adventurous, vigorous, faithful;summer
8;light green;light;square;short;yes;simple;french tips;shine;calm, energetic, adventurous, vigorous, faithful;spring 
9;green;normal;square;short;yes;simple;reversed tip;shine;calm, energetic, adventurous, vigorous, faithful;summer
10;green;normal;square;short;yes;simple;french tips;shine;calm, energetic, adventurous, vigorous, faithful;summer
11;green;normal;round;middle long;yes;medium;swirl, full covered;shine;calm, energetic, adventurous, vigorous, faithful;summer
12;emerald green;dark;round;middle long;yes;simple;flowers, full covered, small art;shine;calm, energetic, adventurous, vigorous, faithful;winter
13;emerald green;dark;square;middle long;yes;simple;full covered, small art;matt;calm, energetic, adventurous, vigorous, faithful;winter
14;emerald green, gold;dark;round;middle long;yes;simple;full covered, small art;shine;calm, energetic, adventurous, vigorous, faithful;winter
15;green;normal;coffin;long;yes;medium;full covered, glitters;shine, glitters;calm, energetic, adventurous, vigorous, faithful;summer
16;emerald green;dark;round;long;yes;simple;french tips, glitters;shine, glitters;calm, energetic, adventurous, vigorous, faithful;winter
17;green;normal;round;middle long;yes;simple;french tips;shine, matt;calm, energetic, adventurous, vigorous, faithful;summer
18;green;normal;round;middle long;yes;medium;french tips, medium art;shine;calm, energetic, adventurous, vigorous, faithful;summer
19;green;normal;coffin;long;yes;complex;french tips, full covered, marmer;shine;calm, energetic, adventurous, vigorous, faithful;summer
20;light green, white;light;round;middle long;yes;simple;ombre, line art;shine;calm, energetic, adventurous, vigorous, faithful;spring 
21;orange, pink, light pink, gold;normal;round;middle long;yes;simple;swirl ;shine;joyful, ambitious, proud, confident;spring 
22;orange, yellow, white ;normal;round;middle long;yes;simple;flowers, french tips;shine;joyful, ambitious, proud, confident;spring 
23;orange ;normal;round;middle long;yes;simple;french tips, checkered;shine;joyful, ambitious, proud, confident;autumn 
24;light orange ;light;round;middle long;yes;simple;french tips, full covered;shine;joyful, ambitious, proud, confident;spring 
25;orange ;normal;round;middle long;no;none;none;shine;joyful, ambitious, proud, confident;autumn 
26;orange ;normal;round;middle long;yes;simple;patterns;shine;joyful, ambitious, proud, confident;autumn 
27;orange ;normal;round;middle long;yes;simple;small art;shine;joyful, ambitious, proud, confident;autumn 
28;light orange, pink ;light;round;short;yes;simple;line art ;shine;joyful, ambitious, proud, confident;spring 
29;orange, gold;normal;round;middle long;yes;simple;french tips, full covered;metallic, shine;joyful, ambitious, proud, confident;autumn 
30;orange, nude;normal;round;middle long;yes;simple;checkered, line art;shine;joyful, ambitious, proud, confident;autumn 
31;orange, gold ;normal;round;long;yes;simple;french tips, glitters, line art;metallic, shine;joyful, ambitious, proud, confident;autumn 
32;orange ;normal;round;long;yes;simple;french tips, small art ;shine;joyful, ambitious, proud, confident;autumn 
33;orange, white, red, yellow;normal;round;middle long;yes;complex;swirl, medium art, flowers;shine;joyful, ambitious, proud, confident;summer, spring
34;orange ;normal;round;long;yes;simple;swirl;shine;joyful, ambitious, proud, confident;autumn 
35;orange ;normal;round;long;yes;complex;french tips, glitters, stones, small art;shine;joyful, ambitious, proud, confident;autumn 
36;orange ;normal;square;long;yes;simple;full covered, french tips, glitters;shine, glitters;joyful, ambitious, proud, confident;autumn 
37;light orange ;light;round;middle long;yes;simple;ombre;shine;joyful, ambitious, proud, confident;spring 
38;orange ;normal;round;long;yes;complex;french tips, glitters, small art;shine, glitters;joyful, ambitious, proud, confident;autumn 
39;orange ;normal;round;long;yes;simple;full covered, golden flakes;shine;joyful, ambitious, proud, confident;autumn 
40;light orange ;light;square;short;yes;simple;line art ;shine;joyful, ambitious, proud, confident;spring 
41;purple;normal;coffin;long;yes;simple;small art, hearts;matt;powerful, masterful;winter
42;purple;normal;coffin;long;yes;simple;patterns, covered;shine;powerful, masterful;winter
43;purple, white, nude;normal;coffin;long;yes;medium;swirl;shine;powerful, masterful;winter
44;purple;normal;coffin;long;yes;medium;full covered, french tips, gold flakes;shine;powerful, masterful;winter
45;purple, white;pastel;coffin;long;yes;simple;french tips, flowers;shine;powerful, masterful;winter
46;purple;normal;coffin;long;no;none;none;shine;powerful, masterful;winter
47;purple;normal;coffin;long;yes;complex;full covered, marmel;shine;powerful, masterful;summer
48;purple;pastel;coffin;long;yes;complex;glitters;shine, glitters;powerful, masterful;winter
49;purple;normal;coffin;middle long;yes;medium;stickers;shine;powerful, masterful;winter
50;purple;light;coffin;middle long;yes;complex;ombre, stones, glitters;shine, matt, glitters;powerful, masterful;winter
51;purple;normal;round;middle long;yes;simple;dots, full covered;shine;powerful, masterful;summer
52;purple, white;normal;round;middle long;yes;medium;flowers, patterns, full covered;shine;powerful, masterful;winter
53;purple, orange;normal;square;short;yes;medium;french tips, medium art, flowers;shine;powerful, masterful;spring 
54;purple, white;normal;coffin;long;yes;simple;swirl;shine;powerful, masterful;winter
55;purple;normal;round;middle long;yes;simple;french tips, chrome;matt, chrome;powerful, masterful;winter
56;purple., white;light;round;short;yes;simple;full covered, hearts, patterns;shine;powerful, masterful;winter
57;purple;light;coffin;long;yes;complex;french tips, marmer, full covered;shine, glitters;powerful, masterful;winter
58;purple;light;round;long;yes;simple;line art, full covered;shine;powerful, masterful;winter
59;purple, white;normal;square;middle long;yes;simple;full covered, flowers;shine;powerful, masterful;summer
60;purple;normal;round;middle long;yes;medium;glitters, full covered;shine, glitters;powerful, masterful;winter
61;blue;pastel;round;short;yes;simple;full covered, glitters;shine, glitters;confident, trustworthy, calm;winter
62;blue;pastel;round;middle long;yes;medium;swirl, flowers, full covered;shine;confident, trustworthy, calm;winter
63;blue;pastel;round;middle long;yes;complex;ombre, stones;pearl;confident, trustworthy, calm;winter
64;blue;light;round;middle long;no;none;none;shine;confident, trustworthy, calm;summer
65;blue;light;round;long;yes;complex;stones, medium art;shine;confident, trustworthy, calm;winter
66;blue;mix;round;long;yes;simple;french tips;shine;confident, trustworthy, calm;winter
67;dark blue;dark;round;middle long;yes;simple;line art, full covered;matt;confident, trustworthy, calm;winter
68;blue;normal;round;middle long;yes;medium;ombre, small art;shine;confident, trustworthy, calm;winter
69;light blue;light;round;long;yes;complex;swirl, stones;shine;confident, trustworthy, calm;winter
70;blue;pastel;round;short;yes;simple;full covered, glitters;shimmer;confident, trustworthy, calm;winter
71;blue;normal;square;middle long;yes;simple;french tips, big art;shine;confident, trustworthy, calm;winter
72;blue;pastel;round;short;yes;simple;full covered, swirl, flowers;shine;confident, trustworthy, calm;winter
73;blue;pastel;round;middle long;yes;simple;full covered, flowers, patterns;shine;confident, trustworthy, calm;summer
74;blue;mix;round;middle long;yes;simple;french tips, swirl;shine;confident, trustworthy, calm;winter
75;blue;light;square;long;yes;medium;french tips, golden flakes;shine;confident, trustworthy, calm;winter
76;light blue;light;round;middle long;yes;simple;full covered, small art;shine;confident, trustworthy, calm;winter
77;blue;pastel;square;short;yes;medium;full covered, medium art;shine;confident, trustworthy, calm;winter
78;light blue;light;square;middle long;yes;medium;full covered, medium art;shine;confident, trustworthy, calm;winter
79;blue, nude;light;square;middle long;yes;medium;line art, glitters, small art ;shine, glitters;confident, trustworthy, calm, transparant;winter
80;blue;normal;coffin;long;yes;simple;small art, hearts;shine;confident, trustworthy, calm;summer
81;yellow, white;pastel;square;long;yes;medium;french tips, flowers;shine;happy, energetic, lively;spring 
82;yellow, white;pastel;square;long;yes;simple;patterns, flowers, full covered;shine;happy, energetic, lively;spring 
83;yellow;normal;square;middle long;yes;simple;french tips;shine;happy, energetic, lively;spring 
84;yellow;light;square;short;yes;medium;swirl;shine;happy, energetic, lively;spring 
85;yellow;normal;square;middle long;no;none;none;shine;happy, energetic, lively;spring 
86;yellow;normal;square;short;yes;simple;medium art, flowers;shine;happy, energetic, lively;spring 
87;yellow;light;square;middle long;yes;complex;medium art, flowers;shine;happy, energetic, lively;spring 
88;yellow;pastel;square;long;yes;medium;french tips, patterns, flowers;shine;happy, energetic, lively;spring 
89;yellow;pastel;square;middle long;yes;simple;small art;shine;happy, energetic, lively;spring 
90;yellow;normal;square;short;yes;simple;small art;shine;happy, energetic, lively;spring 
91;yellow;normal;round;middle long;yes;simple;line art;shine;happy, energetic, lively;spring 
92;yellow;light;coffin;long;yes;simple;full covered, flowers;shine;happy, energetic, lively;spring 
93;yellow;neon;square;short;yes;simple;full covered, flowers;shine;happy, energetic, lively;spring 
94;yellow;pastel;coffin;long;yes;simple;full covered, line art ;matt;happy, energetic, lively;spring 
95;yellow;normal;round;long;yes;complex;french tips, flowers, small art;shine;happy, energetic, lively;spring 
96;yellow;light;round;middle long;yes;simple;swirl;shine;happy, energetic, lively;spring 
97;yellow;normal;round;long;yes;medium;french tips, stones, flowers, full covered;matt;happy, energetic, lively;spring 
98;yellow, white;neon;square;short;yes;simple;hearts, small art;shine;happy, energetic, lively;spring 
99;yellow;normal;coffin;long;yes;medium;medium art, flowers;shine;happy, energetic, lively;spring 
100;yellow, purple;pastel;square;middle long;yes;simple;full covered, french tips;shine;happy, energetic, lively;spring 
101;red ;dark;square;long;yes;simple;french tips, swirl;shine;loving, active, emotional, confident;winter
102;red ;dark;round;middle long;yes;simple;small art;shine;loving, active, emotional, confident;winter
103;red, white, pink;normal;round;middle long;yes;medium;swirl;matt;loving, active, emotional, confident;winter
104;red ;dark;round;long;yes;medium;flowers;shine;loving, active, emotional, confident;winter
105;red ;dark;square;long;yes;simple;french tips, full covered;shine;loving, active, emotional, confident;winter
106;red ;dark;round;long;yes;simple;small art, hearts;shine;loving, active, emotional, confident;winter
107;red ;normal;round;middle long;no;none;none;shine;loving, active, emotional, confident;winter
108;red ;normal;square;long;yes;simple;stickers, full covered;shine;loving, active, emotional, confident;winter
109;red ;normal;round;short;yes;simple;french tips, line art;shine;loving, active, emotional, confident;winter
110;red, pink;normal;round;middle long;yes;simple;small art, hearts;shine;loving, active, emotional, confident;winter
111;red, white;dark;square;short;yes;simple;hearts, full covered;shine;loving, active, emotional, confident;winter
112;dark red ;dark;coffin;long;yes;medium;stones, full covered;shine;loving, active, emotional, confident;winter
113;red, white;normal;round;long;yes;medium;french tips, glitters;shine, glitters;loving, active, emotional, confident;winter
114;red, white;dark;square;middle long;yes;medium;french tips, full covered;shine;loving, active, emotional, confident;winter
115;dark red ;dark;square;short;yes;simple;swirl, full covered;shine;loving, active, emotional, confident;winter
116;red, white;dark;round;middle long;yes;simple;line art;shine;loving, active, emotional, confident;winter
117;red, gold;normal;square;long;yes;complex;french tips, glitters, patterns;shine;loving, active, emotional, confident;winter
118;dark red ;dark;round;long;yes;simple;french tips;shine;loving, active, emotional, confident;winter
119;dark red ;dark;round;long;yes;medium;french tips, golden flakes;shine, glitters;loving, active, emotional, confident;winter
120;red ;normal;square;long;yes;complex;big art, french tips;shine;loving, active, emotional, confident;winter
